"actual","predicted","predicted_calibrated"
0,0.243001395484771,0.192148725483685
0,0.251647433537085,0.206280409837415
1,0.466003216965823,0.700436613768941
0,0.17289167790217,0.103895532606968
0,0.301806840557878,0.302924378357098
0,0.266469000977808,0.232261362135215
0,0.205428008545291,0.139289472477755
0,0.381150001769307,0.494936348418079
0,0.28010713740226,0.258111259782674
1,0.605070099260427,0.906756201275426
0,0.288356367957214,0.274628895704469
0,0.424351525395418,0.604081331517746
0,0.262843248723231,0.225701058323327
0,0.256313191658013,0.214219912381041
0,0.190750343728525,0.122213185401757
0,0.342248176490079,0.396770145116077
0,0.201727043999039,0.134803839979159
0,0.19227030223708,0.123894226332561
0,0.154494110896541,0.087605573900264
0,0.276756180557916,0.251589570892652
0,0.356413717289497,0.431982948451391
1,0.358102781886901,0.436235362576395
0,0.150199388697489,0.0841505694320994
1,0.275772886189568,0.249696756939936
0,0.123585405635535,0.0653747057303591
0,0.283833927599706,0.26549265150414
1,0.335507116950291,0.380358391066097
0,0.198688367278138,0.131212627050582
0,0.153789748613574,0.0870302685955328
1,0.501445678254773,0.770762467074049
0,0.211914622702907,0.147452637058795
0,0.168397870741,0.0996851164659971
0,0.216630429480872,0.153632701288459
0,0.1940810185699,0.125922714440883
0,0.285572250141415,0.268981359390131
0,0.290838310192258,0.279725122654682
0,0.26240016141804,0.224908419797521
0,0.169764319541156,0.100949079951684
1,0.257053723920853,0.215500272101514
0,0.184767977739127,0.115786510138864
0,0.280336547037343,0.25856174911615
0,0.183353282522367,0.114310322834264
1,0.381698898679166,0.496342586862075
0,0.354923317727542,0.428238982307286
1,0.202938920855552,0.136259066457814
0,0.156208682810348,0.0890203848462092
0,0.17862117928664,0.109491153149798
1,0.261323376549247,0.222990404956323
0,0.281034127888924,0.25993472335902
0,0.231693841631874,0.174797406696503
0,0.38782020470088,0.512023811958297
0,0.184989087556801,0.116018722356893
1,0.283501500791481,0.26482879134252
0,0.184945412900833,0.115972822658902
1,0.291471115785609,0.281033690247498
1,0.374994543719935,0.4791771425481
0,0.2482672344555,0.200665861462635
0,0.195649170531673,0.127702373947564
0,0.146542342939611,0.0813065985417526
0,0.169057253590394,0.100293278244788
1,0.340966380543657,0.393630300216236
0,0.182128402502119,0.113045467948425
0,0.175017472929191,0.105941535545452
0,0.249750243249171,0.203114953566905
0,0.205598554866382,0.139499162822703
0,0.235245345746838,0.18011016037593
0,0.18405719302716,0.115042770114976
0,0.193660897664731,0.125449548224188
0,0.284242996023777,0.266311022519822
0,0.256558292078817,0.214643070678095
0,0.353740155459983,0.425272630179678
